,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Coquimbo,40,CL,1559779651,93,-29.95,-71.34,62.01,2.24
1,Atuona,26,PF,1559779653,76,-9.8,-139.03,82.49,18.68
2,Ushuaia,0,AR,1559779654,75,-54.81,-68.31,41.0,8.39
3,Tezpur,100,IN,1559779655,82,26.62,92.79,79.07,3.67
4,Beitbridge,0,ZA,1559779656,35,-22.21,29.99,62.33,5.19
5,East London,100,ZA,1559779505,67,-33.02,27.91,49.91,3.6
6,Pisco,75,PE,1559779581,30,-13.71,-76.2,71.6,11.41
7,Corowa,0,AU,1559779660,93,-36.0,146.39,46.99,6.93
8,Vaini,92,IN,1559779372,87,15.34,74.49,80.33,1.68
9,Hobart,75,AU,1559779485,58,-42.88,147.33,57.99,4.7
10,Longyearbyen,90,NO,1559779663,80,78.22,15.63,33.8,11.41
11,Bredasdorp,52,ZA,1559779664,87,-34.53,20.04,51.8,6.93
12,Albany,90,US,1559779417,73,42.65,-73.75,73.99,4.7
13,Haines Junction,85,CA,1559779667,33,60.75,-137.51,54.95,7.14
14,Bethel,40,US,1559779669,62,60.79,-161.76,57.2,10.29
15,Saldanha,13,PT,1559779670,74,41.42,-6.55,45.59,2.89
16,Mahebourg,40,MU,1559779671,78,-20.41,57.7,72.0,19.46
17,Cape Town,40,ZA,1559779581,87,-33.93,18.42,55.0,3.36
18,Evensk,28,RU,1559779673,50,61.92,159.24,56.57,6.15
19,Pevek,0,RU,1559779675,82,69.7,170.27,33.71,3.83
20,Salaga,69,GH,1559779676,84,8.55,-0.52,77.99,6.53
21,Shingu,0,JP,1559779677,78,33.72,135.99,75.2,6.93
22,Rikitea,100,PF,1559779678,84,-23.12,-134.97,76.91,13.04
23,Hualmay,53,PE,1559779680,88,-11.1,-77.61,62.69,15.23
24,Komsomolskiy,100,RU,1559779681,87,67.55,63.78,29.21,7.02
25,Punta Arenas,0,CL,1559779682,75,-53.16,-70.91,41.0,11.41
26,San Cristobal,75,EC,1559779683,68,-0.39,-78.55,64.4,10.29
27,Dunedin,89,NZ,1559779475,51,-45.87,170.5,51.01,1.99
28,Morondava,0,MG,1559779686,64,-20.3,44.28,77.81,10.67
29,Gat,20,SN,1559779687,83,14.69,-16.54,71.6,8.05
30,Glazunovka,0,RU,1559779688,90,52.5,36.32,56.03,6.44
31,Castro,90,CL,1559779689,100,-42.48,-73.76,48.2,16.11
32,Kapaa,40,US,1559779690,69,22.08,-159.32,82.4,14.99
33,Sharan,8,AF,1559779692,35,33.15,68.78,58.55,9.33
34,Severo-Kurilsk,99,RU,1559779693,98,50.68,156.12,41.27,9.26
