,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,0,CL,1559770435,75,-53.16,-70.91,44.6,10.29
1,Rikitea,94,PF,1559770436,81,-23.12,-134.97,76.23,9.19
2,Japura,100,ID,1559770438,97,-0.42,102.29,74.79,2.3
3,Dutlwe,0,BW,1559770439,24,-23.98,23.93,60.03,6.87
4,Kapaa,90,US,1559770440,69,22.08,-159.32,82.4,12.75
5,Atuona,16,PF,1559770442,76,-9.8,-139.03,82.17,18.7
6,Vila Velha,0,BR,1559770443,74,-3.71,-38.6,82.4,8.05
7,Hermanus,87,ZA,1559770444,89,-34.42,19.24,53.01,1.01
8,Yar-Sale,100,RU,1559770445,95,66.83,70.83,33.75,12.64
9,Abu Kamal,100,SY,1559770446,16,34.45,40.92,95.85,9.33
10,Tessalit,0,ML,1559770448,8,20.2,1.01,95.85,3.56
11,Bluff,100,AU,1559770449,61,-23.58,149.07,52.83,17.02
12,Albany,90,US,1559770203,47,42.65,-73.75,81.0,13.87
13,Grong,35,NO,1559770452,65,64.47,12.32,62.01,1.99
14,Barrow,100,AR,1559770453,79,-38.31,-60.23,57.87,8.84
15,Revelstoke,75,CA,1559770454,34,50.99,-118.19,68.0,3.36
16,Mackenzie,40,CA,1559770455,47,55.34,-123.09,55.4,11.41
17,Mataura,100,NZ,1559770456,86,-46.19,168.86,46.17,8.28
18,Port Hedland,0,AU,1559770458,26,-20.31,118.58,59.0,12.75
19,Cidreira,0,BR,1559770459,73,-30.17,-50.22,64.35,13.69
20,Bredasdorp,78,ZA,1559770460,87,-34.53,20.04,51.8,12.75
21,Katsuura,40,JP,1559770462,94,33.93,134.5,69.8,3.36
22,Port Alfred,18,ZA,1559770463,79,-33.59,26.89,57.0,7.0
23,Santa Catalina,90,PH,1559770464,88,9.33,122.86,80.6,7.87
24,Ghanzi,0,BW,1559770465,23,-21.7,21.65,64.17,4.45
25,Lapeer,90,US,1559770467,69,43.05,-83.32,82.0,4.7
26,Lebu,98,ET,1559770468,72,8.96,38.73,62.19,4.25
